track_artist,track_popularity,track_album_release_date
Bazzi vs.,56,2018-09-28
Khalid,60,2019-03-27
Herve Pagez,48,2019-10-11
Mark Ronson,56,2019-10-04
James Arthur,56,2019-09-13
Arlissa,65,2018-02-09
The Chainsmokers,39,2019-05-31
Sam Feldt,83,2019-05-24
Marshmello,83,2019-03-08
5 Seconds of Summer,71,2019-07-12
Ellie Goulding,81,2019-04-12
Katy Perry,85,2019-05-31
Gryffin,76,2019-03-27
NOTD,71,2019-05-03
Ed Sheeran,65,2019-10-04
The Chainsmokers,67,2019-07-24
Zara Larsson,74,2019-06-21
Jonas Blue,81,2019-03-22
Kaskade,71,2019-06-14
Gryffin,75,2019-10-18
Kygo,73,2019-05-23
Zara Larsson,79,2018-10-18
NOTD,74,2018-03-16
3LAU,63,2019-03-01
Kygo,79,2019-04-19
Jonas Blue,16,2018-11-09
Shawn Mendes,75,2018-09-27
ILLENIUM,75,2019-08-16
Loud Luxury,55,2019-07-12
Avicii,30,2019-04-10
Jax Jones,62,2019-07-12
Zedd,84,2018-01-23
NOTD,70,2019-09-27
Steve Aoki,37,2019-07-12
Gryffin,70,2019-10-24
ILLENIUM,74,2019-05-13
Mabel,85,2019-01-18
A R I Z O N A,36,2019-06-18
Steve Aoki,52,2019-09-06
Starley,58,2019-10-11
Alesso,72,2019-06-14
ayokay,64,2018-08-31
ARTY,63,2019-01-25
Maggie Lindemann,77,2017-03-02
Martin Garrix,76,2019-02-21
Gryffin,74,2017-03-03
Cashae,56,2019-07-12
Galantis,77,2019-10-25
Kygo,71,2019-02-14
Carly Rae Jepsen,64,2019-05-17
Tiësto,82,2019-05-31
Silk City,81,2018-09-06
Shallou,41,2018-01-25
benny blanco,62,2018-12-07
Carly Rae Jepsen,5,2019-02-27
R3HAB,72,2019-10-25
DVBBS,24,2019-08-16
Lost Kings,58,2017-10-13
Armin van Buuren,65,2019-07-12
Alesso,64,2019-03-08
Elderbrook,53,2019-08-09
Martin Garrix,72,2019-08-16
FANNYPACK,39,2019-04-12
Joel Corry,75,2019-04-05
Herve Pagez,60,2019-05-30
Lindsey Stirling,18,2019-08-02
Zedd,79,2017-02-23
Armin van Buuren,60,2019-10-25
DJ Snake,83,2018-09-28
The Chainsmokers,85,2016-07-29
ODESZA,47,2014-10-13
Zedd,74,2012-01-01
Clean Bandit,80,2018-05-17
Martin Garrix,81,2017-01-27
Justin Bieber,76,2017-08-17
The Black Eyed Peas,96,2019-10-12
Calvin Harris,84,2018-08-17
Riton,86,2019-09-13
San Holo,68,2017-02-10
David Guetta,66,2017-06-09
The Chainsmokers,83,2017-04-07
Calvin Harris,85,2018-04-06
Alesso,73,2015-05-26
Kygo,69,2017-02-17
Ne-Yo,69,2012-01-01
DJ Snake,81,2016-08-05
The Chainsmokers,73,2015-06-16
Zedd,61,2012
Disclosure,19,2013-01-01
David Guetta,57,2018-09-14
Justin Bieber,81,2015-11-13
Calvin Harris,79,2016-04-29
Avicii,84,2013-01-01
Dynoro,84,2018-06-08
David Guetta,66,2011-08-26
Skrillex,8,2015-11-13
Katy Perry,64,2010-01-01
J Balvin,61,2017-09-28
Swedish House Mafia,27,2012-01-01
Justin Timberlake,74,2016-09-23
Ellie Goulding,57,2012-01-01
Lady Gaga,69,2008-01-01
Calvin Harris,77,2015-07-17
Robin Schulz,74,2020-01-10
Sigala,5,2019-09-27
Kaskade,57,2019-09-12
Hot Shade,68,2019-12-20
Paul Kalkbrenner,65,2019-07-26
MOTi,58,2019-01-25
Dimitri Vegas & Like Mike,81,2019-07-05
Becky Hill,68,2020-01-10
Molella,43,2019-06-21
MOTi,57,2019-12-20
The Chainsmokers,58,2019-07-19
GATTÜSO,58,2019-12-19
MEDUZA,91,2019-10-11
Jonas Blue,67,2019-07-19
Matt Simons,42,2019-09-19
Skrillex,70,2019-08-29
Ed Marquis,64,2017-04-28
NOTD,79,2018-11-02
Brando,48,2020-01-10
Glaceo,53,2019-12-20
Tiësto,75,2019-12-13
Kharfi,46,2019-11-08
Lost Frequencies,67,2019-10-04
Dua Lipa,65,2019-12-18
Steve Void,56,2019-12-20
Jax Jones,42,2019-08-28
Armin van Buuren,58,2019-10-25
David Guetta,74,2019-05-09
PNAU,65,2019-05-02
Mike Perry,64,2019-09-27
FAULHABER,51,2019-10-18
Audien,63,2018-11-09
Martin Garrix,83,2019-10-31
Prince Paris,55,2019-11-29
Georgia Ku,39,2019-10-18
Icarus,48,2019-10-04
Madison Mars,59,2019-12-06
Nahaze,64,2019-12-11
DJ Ross,42,2019-11-15
R3HAB,70,2018-01-26
Phantoms,57,2019-07-19
Deorro,21,2019-07-12
Gryffin,68,2019-10-24
Tiësto,63,2019-08-08
Yves V,54,2019-05-31
Alok,79,2019-11-22
Martin Solveig,72,2019-12-06
R3HAB,80,2019-04-05
Steve Aoki,47,2019-02-22
Alex Gaudino,19,2019-03-01
Felix Jaehn,79,2019-11-22
Audien,59,2019-11-08
David Guetta,68,2019-07-26
SAINt JHN,72,2019-09-13
Ofenbach,66,2019-11-15
ARTY,59,2020-01-03
Rita Ora,64,2019-04-05
Ellie Goulding,9,2019-02-01
Drax Project,41,2019-05-02
Ed Sheeran,69,2019-09-27
Kygo,66,2019-07-05
Dzeko,68,2019-01-04
Ellie Goulding,66,2019-05-10
R3HAB,63,2019-05-10
Don Diablo,68,2019-04-26
Steve Aoki,23,2019-09-06
Kygo,67,2019-05-30
Sam Feldt,62,2019-05-10
Andy Grammer,9,2019-04-12
MOTi,59,2019-02-15
Martin Garrix,71,2019-07-18
Jonas Blue,21,2018-11-09
Kygo,81,2018-10-26
Valerie Broussard,69,2019-08-16
Khalid,56,2019-04-04
Alok,56,2019-07-19
Panic! At The Disco,60,2019-01-11
Hardwell,40,2019-05-31
P!nk,57,2019-06-28
Lewis Capaldi,70,2019-09-27
Daya,63,2019-05-17
Zara Larsson,65,2019-04-24
NOTD,56,2019-06-07
Why Don't We,2,2018-09-28
James Arthur,53,2018-06-29
Gryffin,11,2018-10-26
Alesso,77,2018-08-31
Borgeous,56,2019-01-25
Clean Bandit,65,2019-03-08
Hardwell,34,2019-03-08
Dan + Shay,54,2019-03-21
Marshmello,51,2018-10-19
JP Cooper,50,2019-06-21
Jess Glynne,52,2018-12-07
David Guetta,76,2019-02-08
Sigala,75,2019-05-24
Frank Walker,52,2019-03-29
Mabel,62,2019-07-05
Ava Max,65,2018-08-16
Young Bombs,62,2019-11-01
OneRepublic,10,2019-08-02
Syn Cole,55,2019-05-31
Tyler Shaw,49,2019-02-01
Sam Feldt,70,2020-01-10
Nicky Romero,61,2019-06-21
Sam Feldt,75,2019-08-16
Faustix,60,2019-03-29
George Ezra,63,2018-06-15
XO Cupid,73,2018-09-21
Faustix,60,2018-11-23
Faustix,62,2019-07-26
Winati,67,2019-06-21
Tungevaag & Raaban,61,2019-03-22
Jubël,71,2018-06-22
Avicii,80,2019-06-06
John De Sohn,68,2018-07-27
Olympis,60,2019-08-16
Martin Jensen,66,2019-03-01
Jax Jones,75,2019-07-12
Lauv,58,2018-11-01
Kris Kross Amsterdam,74,2018-06-22
Tungevaag & Raaban,68,2018-03-23
GAMPER & DADONI,72,2019-03-29
Jess Glynne,70,2018-10-12
Lauv,58,2019-08-30
Vigiland,67,2018-03-02
Marshmello,62,2018-10-19
Drax Project,56,2019-05-02
Sigala,65,2018-09-28
Jess Glynne,51,2019-03-15
Robin Schulz,54,2019-03-22
Ellie Goulding,61,2019-02-01
Alan Walker,76,2018-12-14
Martin Garrix,83,2019-04-25
Loud Luxury,63,2017-10-27
Cheat Codes,70,2019-03-15
Dennis Lloyd,70,2019-06-07
Klingande,56,2017-09-08
Hot Shade,65,2018-05-04
Martin Jensen,61,2016-11-04
Davai,60,2017-08-25
Kygo,63,2019-04-12
Loud Luxury,54,2018-08-31
Alan Walker,70,2018-12-14
Avicii,6,2018-11-23
Kygo,70,2017-11-03
Axel Johansson,54,2018-04-20
Calvin Harris,83,2019-01-11
Ed Sheeran,53,2018-06-01
John De Sohn,55,2017-06-09
Avicii,81,2017-08-10
Starley,58,2016-10-07
Chico Rose,75,2019-08-30
Kygo,73,2017-09-21
Clean Bandit,73,2018-11-30
Mike Perry,57,2017-09-01
Axwell /\ Ingrosso,25,2017-05-24
Steff da Campo,55,2019-06-07
Avicii,80,2014-01-01
OneRepublic,69,2017-07-14
Jonas Blue,74,2018-11-09
Felix Jaehn,65,2018-02-16
Dua Lipa,50,2018-02-23
Jax Jones,66,2019-07-12
Ilkay Sencan,71,2019-06-21
Tiësto,79,2018-05-18
Gaullin,76,2018-09-07
Martin Jensen,55,2016-04-08
Ava Max,87,2018-08-17
Lost Frequencies,35,2018-06-15
Martin Garrix,77,2018-07-29
Ava Max,83,2019-03-07
Craig David,51,2018-02-09
Lyente,2,2018-04-17
Martin Garrix,68,2018-09-14
Dimitri Vangelis & Wyman,50,2019-03-29
Steve Brian,42,2018-10-12
Billie Eilish,95,2019-03-29
Fluex,50,2018-06-22
Rob Tirea,21,2018-04-13
SLATIN,63,2018-11-30
Martin Garrix,56,2018-12-14
Lvly,2,2018-04-13
PULLER,2,2017-01-23
CAZZETTE,49,2018-10-12
Tiësto,60,2019-03-15
Dropgun,45,2019-01-25
Galantis,56,2018-07-13
Alicia Madison,41,2018-05-11
Mike Williams,70,2018-07-23
Armin van Buuren,57,2018-10-12
Avicii,16,2015-10-02
Dash Berlin,48,2018-04-20
David Guetta,72,2018-02-22
Catiso,2,2018-02-23
Lush & Simon,2,2018-06-01
Vargas & Lagola,66,2018-02-09
Tiësto,60,2018-05-18
Sigala,68,2017-06-09
Kygo,50,2018-05-11
Bombs Away,39,2018-04-16
Catiso,1,2018-02-23
STVCKS,4,2018-03-02
Ariana Grande,16,2014-08-22
Tritonal,58,2016-09-09
DJ Khaled,77,2018-07-27
Axwell /\ Ingrosso,71,2017-07-28
Jax Jones,65,2017-12-01
Martin Garrix,80,2016-07-29
oomiee,1,2017-09-01
ARASHI,67,2019-11-03
Shinn Yamada,28,2019-12-11
TOMORROW X TOGETHER,48,2020-01-14
Hiroomi Tosaka,39,2020-01-08
GENERATIONS from EXILE TRIBE,60,2019-11-21
E-girls,29,2020-01-29
iamSHUM,21,2019-12-11
DAOKO,40,2020-01-15
CHANMINA,37,2020-01-17
香取慎吾,38,2020-01-01
EMMA WAHLIN,17,2020-01-17
Ghost like girlfriend,30,2020-01-15
Ryuji Imaichi,31,2020-01-15
CREAM,37,2019-12-25
THE RAMPAGE from EXILE TRIBE,35,2020-01-15
INTERSECTION,49,2020-01-08
chelmico,42,2020-01-17
ASOBOiSM,23,2020-01-17
FlowBack,34,2019-12-11
SARM,27,2020-01-12
ARASHI,60,2019-12-20
SIRUP,53,2019-11-22
Yo-Sea,30,2020-01-15
eill,41,2019-11-06
Rei Yasuda,29,2019-11-27
Daichi Miura,54,2019-12-04
phai,21,2020-01-15
BABY-T,21,2019-12-02
CREAM,40,2019-11-27
真之介,26,2020-01-08
KEITA,26,2019-12-18
空音,36,2019-11-20
Sakurako Ohara,32,2020-01-15
HAN-KUN,34,2019-12-16
RUN THE FLOOR,21,2020-01-15
INTERSECTION,36,2019-12-25
DEAN FUJIOKA,36,2019-12-11
Chocoholic,42,2019-11-20
片寄涼太,49,2020-01-07
Boys Get Hurt,12,2019-12-23
SkyLogic,16,2019-12-14
YUTO,27,2019-10-26
AAAMYYY,44,2019-11-13
HarukiD,21,2020-01-12
HIRAIDAI,41,2019-11-17
eill,44,2019-11-06
blanchehor,39,2019-11-09
KEITA,21,2019-11-20
Kumi Koda,35,2019-11-13
yu-re:meu,16,2020-01-11
Gear 2nd,27,2019-10-30
Miliyah,37,2019-10-26
広瀬大地,30,2019-10-23
DJ PIGER,35,2019-10-16
RYPPHYPE,26,2019-11-20
sooogood!,30,2019-11-20
Monkey Majik,40,2019-10-23
WAPLAN,31,2019-10-30
AATA,27,2019-12-11
Beverly,31,2019-12-04
EVERGLOW,74,2019-08-19
BVNDIT,59,2019-11-05
GOT7,63,2019-11-04
CHUNG HA,73,2019-06-24
ATEEZ,72,2019-10-08
BLACKPINK,68,2018-06-15
X1,58,2019-08-27
ATEEZ,72,2020-01-06
Red Velvet,70,2017-11-17
HINAPIA,59,2019-11-03
SuperM,75,2019-10-04
Mamamoo,81,2019-11-14
MOMOLAND,70,2018-01-03
KARD,65,2019-09-22
K/DA,75,2018-11-03
Monsta X,69,2019-12-06
BTS,85,2019-04-12
EVERGLOW,72,2019-03-18
Mamamoo,72,2019-03-14
BTS,75,2018-08-24
BTS,65,2017-11-24
iKON,63,2018-08-02
BLACKPINK,2,2017-06-22
Stray Kids,71,2019-03-25
YOUNGJAE,48,2019-10-22
NCT,68,2018-03-14
BLACKPINK,65,2018-06-15
Mamamoo,70,2018-07-16
KARD,66,2019-03-27
BTS,71,2017-09-18
CHUNG HA,2,2018-01-18
TWICE,7,2018-11-05
X1,69,2019-08-27
(G)I-DLE,66,2018-08-14
GOT7,1,2016-09-27
CLC,64,2019-05-30
MOMOLAND,66,2018-06-26
EXID,60,2017-11-08
Mamamoo,67,2018-03-07
SUNMI,0,2018-09-26
SEVENTEEN,66,2019-08-05
SUNMI,62,2018-01-18
SHAUN,66,2018-06-27
MOMOLAND,61,2019-03-20
EXID,61,2019-05-15
CLC,61,2019-01-30
PRODUCE 48,58,2018-05-10
TAEMIN,63,2019-02-11
GFRIEND,67,2019-07-01
Ailee,57,2019-07-02
Red Velvet,65,2018-08-06
SUNMI,70,2019-08-27
twlv,40,2019-08-04
THE BOYZ,55,2019-08-19
gugudan,54,2018-11-06
PENTAGON,63,2019-07-17
Monsta X,56,2019-02-18
WINNER,60,2019-05-15
PENTAGON,56,2019-03-27
FANATICS,42,2019-08-06
RUANN,45,2019-07-31
Raiden,54,2019-08-02
ELYAZ,30,2018-07-06
Becky Hill,64,2019-03-29
Armin van Buuren,52,2018-04-20
David Guetta,54,2012-12-07
Calvin Harris,16,2019-02-15
The Chainsmokers,13,2018-04-20
Lost Frequencies,58,2018-09-14
Alle Farben,61,2019-03-29
Armin van Buuren,24,2017-01-27
Avicii,27,2017-08-10
The Chainsmokers,56,2017-04-28
Swedish House Mafia,77,2012-09-14
Keanu Silva,2,2018-07-27
Tiësto,70,2018-01-26
ELYAZ,9,2016-12-02
Tiësto,65,2015-04-03
Martin Garrix,62,2017-10-20
KSHMR,64,2018-06-15
Coldplay,78,2014-05-19
The Chainsmokers,64,2016-05-27
Dimitri Vegas & Like Mike,69,2019-02-15
Avicii,67,2014-01-01
Calvin Harris,77,2016-09-16
Axwell /\ Ingrosso,7,2017-02-10
Zedd,80,2018-07-18
Kygo,75,2018-06-15
OneRepublic,80,2013-01-01
Lost Frequencies,36,2019-03-08
Lost Frequencies,48,2018-09-14
Armin van Buuren,49,2019-03-29
Tim Berg,7,2013-11-22
Armin van Buuren,65,2013-05-03
OneRepublic,44,2013-01-01
Martin Garrix,2,2016-05-27
Calvin Harris,75,2014-10-31
David Guetta,47,2014-11-24
Avicii,10,2015-10-02
Tiësto,69,2014-06-13
Martin Garrix,57,2016-03-11
Avicii,66,2012-01-01
Axwell /\ Ingrosso,4,2015-01-20
Alan Walker,85,2019-12-27
The Chainsmokers,85,2019-12-06
Campsite Dream,50,2020-01-10
The Chainsmokers,66,2019-11-08
Nea,63,2020-01-10
Campsite Dream,43,2019-12-06
SAINt JHN,88,2019-10-09
Aivarask,56,2019-08-23
GASHI,63,2019-08-28
Oliver Heldens,61,2019-04-12
Sigala,76,2019-11-01
Riton,50,2019-12-13
Alle Farben,66,2019-10-11
Snakehips,64,2019-08-28
Henri PFR,59,2019-11-29
Ina Wroldsen,64,2019-09-20
Hypanda,56,2019-08-30
Younotus,77,2019-04-26
The Chainsmokers,17,2019-04-26
Wiley,38,2019-08-02
CamelPhat,66,2019-06-04
Craig David,30,2019-09-13
Au/Ra,72,2019-10-17
LORYN,58,2019-05-17
MAX,65,2019-07-19
The Chainsmokers,12,2019-03-29
Zara Larsson,48,2019-05-03
Campsite Dream,41,2019-06-21
Herve Pagez,59,2019-05-30
Oliver Heldens,38,2019-06-28
Martin Garrix,68,2019-03-31
Dimitri Vegas & Like Mike,41,2019-11-08
Steve Aoki,5,2019-04-19
P!nk,75,2019-04-11
Alan Walker,83,2019-03-21
MK,61,2019-05-10
Mark Ronson,58,2019-05-20
Campsite Dream,48,2019-04-12
Mark Ronson,69,2019-04-12
Sia,55,2019-05-16
benny blanco,79,2019-02-28
Sia,62,2019-04-12
Snakehips,74,2015-10-21
Sam Smith,87,2019-01-11
K-391,78,2019-08-30
Campsite Dream,40,2019-01-18
Alan Walker,69,2018-12-14
The Chainsmokers,75,2017-01-13
Kygo,75,2016-05-13
Daft Punk,71,2013-05-17
David Guetta,78,2018-09-14
George Ezra,54,2018-11-23
MØ,71,2016-05-13
Normani,55,2018-10-22
OMI,76,2015-10-16
Kygo,64,2018-06-15
Faul & Wad Ad,39,2013-11-15
Campsite Dream,55,2016-09-23
Zara Larsson,76,2017-03-17
Calvin Harris,66,2018-07-13
Calvin Harris,76,2017-06-30
Fatboy Slim,62,2018-11-02
MK,72,2018-09-07
Calvin Harris,74,2017-02-24
Daft Punk,76,2013-04-19
QUIX,38,2018-11-09
MK,69,2017-09-01
Sigala,66,2018-02-23
The Chainsmokers,23,2019-02-07
Oliver Heldens,70,2018-10-26
Wiktoria,42,2020-01-17
John De Sohn,67,2019-11-15
Vide,46,2020-01-03
Ludvigsson,51,2019-11-22
Caj Morgan,41,2019-12-27
Andrew Roman,47,2019-12-06
Ljung,45,2019-12-06
John De Sohn,54,2019-11-29
Hogland,54,2019-11-15
Ericé,47,2019-11-29
Ria Mae,66,2019-10-16
AronChupa,61,2019-11-22
Wahlstedt,53,2019-11-22
Skylike,63,2019-09-06
JRL,44,2019-11-29
Kesha,62,2019-11-21
Justin Jesso,70,2019-11-15
John De Sohn,49,2019-09-20
Haze & Mellow,44,2019-11-22
Sterkøl,50,2019-11-01
Moe Aly,44,2019-11-22
Laureano,34,2019-11-08
Addal,57,2019-11-08
Madeon,60,2019-11-15
Bakermat,76,2019-11-08
TooManyLeftHands,49,2019-11-22
Greyson Chance,55,2019-11-08
Ludvigsson,49,2019-09-27
Lost Kings,54,2019-10-18
Tom Walker,45,2019-10-03
AJ Mitchell,62,2019-11-08
TRXD,50,2019-10-25
henrikz,37,2019-10-18
Frans,44,2019-09-20
Hogland,53,2019-09-13
jayover,34,2019-10-25
Regard,94,2019-07-26
Erlandsson,48,2019-10-11
Jonasu,51,2019-10-18
Captain Cuts,55,2019-08-23
Martin Jensen,58,2019-10-04
Lost Kings,60,2019-10-11
Starley,37,2019-10-11
Sterkøl,45,2019-09-06
Sick Individuals,52,2019-10-11
Davai,57,2019-09-20
AMAANDA,32,2019-09-20
Papa Ya,40,2019-09-27
Guy Sebastian,54,2019-09-27
Roman Müller,41,2019-08-30
BAARD,42,2019-09-13
Normani,83,2019-08-16
Theresa Rex,40,2019-09-27
Hellberg,52,2019-08-23
Marshmello,85,2019-06-21
Hogland,66,2019-06-07
Mark Ronson,58,2019-09-27
Foxa,45,2019-08-09
Lewka,41,2019-08-16
Lost Kings,55,2019-08-23
Vinil,22,2019-08-23
Tom Ferry,47,2019-08-09
Haze & Mellow,38,2019-08-02
Jonasu,51,2019-07-05
henrikz,28,2019-08-16
Moe Aly,38,2019-08-09
End of the World,65,2019-07-26
Closed Doors,31,2019-07-26
Ashley O,70,2019-06-14
Loud Luxury,46,2019-07-12
Pedro Capó,63,2019-06-21
Charming Horses,39,2019-08-02
Le P,35,2019-07-26
Alex Mattson,44,2019-06-28
Davai,47,2019-06-28
Out Of Sound,45,2018-09-28
ILIRA,48,2019-07-26
KAROL G,98,2019-11-07
Aitana,81,2019-12-17
Billie Eilish,97,2019-11-13
David Bisbal,66,2020-01-02
Omar Montes,82,2019-10-24
Morat,77,2019-10-31
J Balvin,82,2020-01-09
Justin Bieber,95,2020-01-03
Daddy Yankee,90,2019-10-18
Halsey,86,2020-01-10
Lérica,49,2020-01-16
Reik,88,2019-08-23
Bad Gyal,77,2019-12-12
DJ Snake,80,2019-12-27
Jonas Brothers,73,2020-01-17
Anuel AA,93,2019-07-19
Miki Núñez,57,2019-09-12
Selena Gomez,73,2020-01-10
Jhay Cortez,81,2019-11-19
Eminem,79,2020-01-17
Tainy,90,2019-08-22
J Balvin,88,2019-11-15
Shawn Mendes,93,2019-06-21
Major Lazer,84,2019-09-11
Maroon 5,98,2019-09-20
Mariah Carey,18,2010-01-01
Manuel Carrasco,72,2018-12-07
Gregory Porter,51,2020-01-16
Morat,71,2019-04-12
The Weeknd,98,2019-11-29
Lérica,74,2019-11-05
Lewis Capaldi,94,2019-05-17
Bad Gyal,70,2019-07-19
Juice WRLD,92,2019-10-04
Antonio José,69,2019-09-26
Lola Indigo,69,2019-07-30
Post Malone,49,2019-08-30
Aitana,70,2019-06-07
J Balvin,91,2019-06-28
Lalo Ebratt,77,2019-02-28
David Bisbal,70,2019-07-04
Niall Horan,87,2019-10-04
Yera,75,2019-09-26
The Weeknd,93,2019-11-27
Damien,56,2019-11-21
Daddy Yankee,87,2019-01-24
Juanes,78,2019-09-06
Lola Indigo,62,2019-12-05
Taylor Swift,85,2019-11-13
Bad Gyal,65,2019-07-05
Sebastian Yatra,80,2019-06-21
Alba Reche,50,2019-10-17
Selena Gomez,93,2019-10-23
Guaynaa,78,2019-07-12
David Bisbal,57,2019-11-08
Lewis Capaldi,90,2019-11-19
Pablo López,59,2019-11-07
Lunay,85,2019-05-10
Natalia Lacunza,59,2019-06-13
Don Patricio,79,2019-01-27
Lou Bega,10,2008-07-25
Darude,61,2007-04-18
Vengaboys,51,1998
Mr. President,18,1996
Eiffel 65,16,1999
Aqua,5,2009-01-01
Haddaway,70,1993
Scatman John,10,1995-06-01
Paradisio,59,1996
La Bouche,13,2009-06-11
Gigi D'Agostino,48,2014-05-30
Britney Spears,75,1999-01-12
SNAP!,12,1991
Real McCoy,2,2000-01-01
Chumbawamba,53,2008-04-28
Ace of Base,16,1994-01-01
Corona,56,2009-03-16
Los Del Rio,38,2008-07-25
Cher,76,1998
Britney Spears,2,1999-01-12
Ace of Base,55,2008-11-14
Alice DJ,49,2000
Prince Ital Joe,50,1994-04-29
T-Spoon,3,2008-11-15
The Mamas,55,2019-11-08
Aqua,0,2009-01-01
Haddaway,44,1993-09-13
Amber,52,1996-11-26
Grace Gracie,35,2019-11-29
C & C Music Factory,2,2010-02-26
Real McCoy,41,1995-03-28
Robert Miles,67,1996-07-11
Corona,55,1994
Technotronic,38,2010-11-16
Jennifer Lopez,55,2012-07-20
2 Brothers On The 4th Floor,61,1994
Des'ree,27,2010-09-10
Spice Girls,79,1996-01-01
Nelly,2,2007
Vengaboys,60,2000
La Bouche,62,2007
Alice DJ,45,1999
Vengaboys,62,1998
Captain Hollywood Project,60,1993-03-05
Masterboy,1,1995-01-01
Real McCoy,49,1995-03-28
Deee-Lite,33,1994
Britney Spears,40,2014-07-29
Ace of Base,4,1999-01-03
Kylie Minogue,27,1992-11-29
Culture Beat,48,1993-01-01
Maxx,48,1994
DJ Bobo,40,2014-05-02
Salt-N-Pepa,2,2015-10-30
Aqua,0,2009-01-01
Will Smith,70,1997-10-03
Rednex,5,2010-02-26
Maxx,60,1994
Mr. President,4,1996
Vanilla Ice,70,2008-11-04
Casey Derhak,39,2019-04-23
Dune,57,1995-07-31
Alice Deejay,3,1999
Aqua,2,2009-01-01
Ice Mc,59,1994-01-01
Corona,48,1994
E-Rotic,46,2001-07-01
*NSYNC,54,1997-05-26
Sash!,45,2016-09-30
Whigfield,6,2013-12-17
Scooter,47,2013-10-11
Me & My,49,1995
Zombie Nation,47,2006-03-07
Whigfield,50,1995-05-08
The Bucketheads,50,1995-03-03
Culture Beat,7,2009-07-24
Inner Circle,70,2010-12-14
Cappella,46,2010-06-18
Masterboy,50,2006-01-23
Captain Jack,48,2008-11-21
O-Zone,8,2009-12-25
DJ Bobo,43,2014-05-02
DJ Sammy,64,2002-08-06
A Touch Of Class,5,2000-11-24
Aqua,43,1997-01-01
Pet Shop Boys,63,2003
Dr. Alban,21,1992-05-04
Faithless,57,2005-08-30
Madonna,51,1990-03-22
DJ Jean,53,1999-02-02
Grace,20,2007-01-30
2 Brothers On The 4th Floor,55,1994
SNAP!,57,1992-01-01
Vengaboys,61,2000
Scatman John,54,1995-06-01
Culture Beat,54,1993-01-01
Gigi D'Agostino,69,2014-05-30
SNAP!,59,1990-01-01
Double You,53,1994-01-01
SNAP!,67,1992-01-01
Hillsong UNITED,43,2018-09-28
Hillsong Young & Free,52,2018-06-29
Youngheart,33,2018-05-11
Neon Feather,34,2019-02-15
Verses,31,2019-03-29
Tauren Wells,32,2019-11-01
Local Sound,46,2018-09-21
Dan Bremnes,36,2019-09-20
Logan Pollard,21,2018-08-11
Verses,38,2018-04-26
TobyMac,41,2019-08-23
Mass Anthem,39,2018-06-08
Passion,40,2018-06-22
Highlands Worship,31,2018-07-06
Verses,38,2018-10-26
Elizabeth Grace,38,2018-08-02
Matthew Parker,32,2018-10-26
Rachael Nemiroff,31,2018-05-18
Hillsong Young & Free,39,2018-06-29
York Worship,29,2018-02-27
for KING & COUNTRY,53,2019-10-04
Marci Coleman,27,2018-08-21
Bryan Boliver,30,2018-10-12
Marshall Marshall,40,2018-08-24
Alive City,54,2019-08-15
for KING & COUNTRY,52,2019-05-31
Bright Ones,35,2018-04-27
Heather Schnoor,33,2018-03-30
Verses,30,2018-08-03
Apollo LTD,35,2019-06-07
Manafest,28,2018-09-21
Influence Music,34,2019-02-15
The Young Escape,39,2019-05-31
Cade Thompson,33,2018-08-24
